場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
阪神,芝,2000,差し,222,12,42,0.0541,0.1892,0.191111
阪神,芝,2000,逃げ,38,7,19,0.1842,0.5,0.487805
阪神,芝,2200,,1,0,0,0.0,0.0,0.25
阪神,芝,2200,まくり,4,1,2,0.25,0.5,0.428571
阪神,芝,2200,先行,35,3,13,0.0857,0.3714,0.368421
阪神,芝,2200,差し,60,6,13,0.1,0.2167,0.222222
阪神,芝,2200,逃げ,11,1,5,0.0909,0.4545,0.428571
阪神,芝,2400,,2,0,0,0.0,0.0,0.2
阪神,芝,2400,まくり,5,0,1,0.0,0.2,0.25
阪神,芝,2400,先行,86,12,38,0.1395,0.4419,0.438202
阪神,芝,2400,差し,126,9,30,0.0714,0.2381,0.24031
阪神,芝,2400,逃げ,25,4,6,0.16,0.24,0.25
阪神,芝,2600,まくり,1,0,0,0.0,0.0,0.25
阪神,芝,2600,先行,15,2,5,0.1333,0.3333,0.333333
阪神,芝,2600,差し,20,2,7,0.1,0.35,0.347826
阪神,芝,2600,逃げ,4,0,0,0.0,0.0,0.142857
阪神,芝,3000,先行,11,0,3,0.0,0.2727,0.285714
阪神,芝,3000,差し,25,3,6,0.12,0.24,0.25
阪神,芝,3000,逃げ,3,0,0,0.0,0.0,0.166667
